intercept,casteworker,log_mass,casteworker_mass,log_energy
1,1,3.8501476017100584,3.8501476017100584,3.688879454113936
1,1,3.9889840465642745,3.9889840465642745,3.688879454113936
1,1,4.110873864173311,4.110873864173311,3.688879454113936
1,1,4.174387269895637,4.174387269895637,3.6635616461296463
1,1,4.248495242049359,4.248495242049359,3.871201010907891
1,1,4.2626798770413155,4.2626798770413155,3.8501476017100584
1,1,4.343805421853684,4.343805421853684,3.9318256327243257
1,1,4.48863636973214,4.48863636973214,3.688879454113936
1,1,4.51085950651685,4.51085950651685,3.951243718581427
1,1,3.951243718581427,3.951243718581427,4.110873864173311
1,1,3.9889840465642745,3.9889840465642745,4.189654742026425
1,1,4.1588830833596715,4.1588830833596715,4.143134726391533
1,1,4.23410650459726,4.23410650459726,4.2626798770413155
1,1,4.276666119016055,4.276666119016055,4.248495242049359
1,1,4.248495242049359,4.248495242049359,4.51085950651685
1,1,4.465908118654584,4.465908118654584,4.394449154672439
1,1,4.532599493153256,4.532599493153256,4.219507705176107
1,1,4.51085950651685,4.51085950651685,4.48863636973214
1,1,4.8283137373023015,4.8283137373023015,4.6443908991413725
1,1,4.7535901911063645,4.7535901911063645,5.017279836814924
1,1,4.875197323201151,4.875197323201151,5.043425116919247
1,0,4.382026634673881,0,3.828641396489095
1,0,4.543294782270004,0,4.143134726391533
1,0,4.912654885736052,0,3.5553480614894135
1,0,4.700480365792417,0,4.060443010546419
1,0,4.700480365792417,0,4.0943445622221
1,0,4.762173934797756,0,4.30406509320417
1,0,4.859812404361672,0,4.0943445622221
1,0,5.056245805348308,0,4.418840607796598
1,0,5.262690188904886,0,4.23410650459726
1,0,5.147494476813453,0,4.499809670330265
1,0,5.087596335232384,0,4.574710978503383
1,0,4.997212273764115,0,4.532599493153256
1,0,4.875197323201151,0,4.61512051684126
1,0,4.812184355372417,0,4.48863636973214
